City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Atuona,PF,77.07,-9.8,-139.0333,Villa Enata
1,Lorengau,PG,81.57,-2.0226,147.2712,Lorengau Harbourside Hotel
6,Nikolskoye,RU,85.87,59.7035,30.7861,Tourist House - Sablino
7,Salalah,OM,76.42,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,Faanui,PF,76.39,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Kalmunai,LK,80.78,7.4167,81.8167,VS Villa
21,Dingle,PH,77.59,10.9995,122.6711,SEGAYA PROPERTY
25,Arraial Do Cabo,BR,76.96,-22.9661,-42.0278,Pousada Porto Praia
29,Urumqi,CN,85.15,43.801,87.6005,Hua Ling Grand Hotel Urumqi
35,Cockburn Town,TC,82.44,21.4612,-71.1419,Osprey Beach Hotel
37,Abha,SA,78.62,18.2164,42.5053,Abha Hotel
42,Muros,ES,80.69,42.7762,-9.0603,Apartment Av. Castelao
43,Morant Bay,JM,80.22,17.8815,-76.4093,Whispering Bamboo Cove Resort
45,Derzhavinsk,KZ,80.47,51.1,66.3167,Ooo.khim Baza
47,Papagaios,BR,75.7,-19.4492,-44.7478,Hotel Mac Palace
52,Cao Bang,VN,78.39,22.6667,106.25,khách sạn 88
55,Tamala,RU,80.47,52.541,43.2515,Kolkhoznyy Pereulok
59,Mabaruma,GY,86.72,8.2,-59.7833,Monty Brooms Guest House
61,Mayo,US,79.21,38.8876,-76.5119,Resorts Resource Group International
63,Butaritari,KI,81.91,3.0707,172.7902,Isles Sunset Lodge
66,Carolina,PR,87.73,18.3808,-65.9574,Motel Fantasy Star
72,Bandarbeyla,SO,81.82,9.4942,50.8122,JABIR HOTEL
73,Ariquemes,BR,89.53,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
74,Westport,US,77.76,41.1415,-73.3579,The Westport Inn
81,Riverton,US,78.64,40.5219,-111.9391,Ramada by Wyndham Draper
84,Ixtapa,MX,79.23,20.7,-105.2,hotel la terminal
85,Galle,LK,78.76,6.0367,80.217,Amangalla
87,Canutama,BR,89.58,-6.5339,-64.3831,Hotel Jhennifer
88,Tumaco,CO,76.48,1.7986,-78.8156,Unión Victoria
90,Bengkulu,ID,77.85,-3.8004,102.2655,Grage Hotel Bengkulu
93,Requena,ES,82.8,39.4883,-1.1004,Hotel Avenida
94,Cabo San Lucas,MX,81.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Meulaboh,ID,77.16,4.1363,96.1285,Kost Pria
96,Ribeira Grande,PT,77.4,38.5167,-28.7,Quinta da Meia Eira
97,Hami,CN,89.82,42.8,93.45,Laoyutang Resort
102,Kokopo,PG,77.56,-4.352,152.2633,Kokopo Beach Bungalow Resort
103,Puerto Ayacucho,VE,80.2,5.6639,-67.6236,Posada Turistica Manapiare
104,Victoria,HK,87.85,22.2855,114.1577,Mini Central
106,Kapaa,US,79.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Brownwood,US,81.97,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
109,Pyu,MM,79.41,18.4833,96.4333,Mr Bo Bo
111,Santa Cruz,BO,78.85,-17.8,-63.1667,Aviador Hotel Boutique
119,Port-Gentil,GA,78.76,-0.7193,8.7815,Fengshui Residence
120,Santa Marta,CO,80.65,11.2408,-74.199,Hotel La Ballena Azul
123,Cayenne,GF,87.84,4.9333,-52.3333,Hôtel Le Dronmi
131,Cam Ranh,VN,82.36,11.9214,109.1591,OYO 598 Peony Hotel
138,Katsuura,JP,79.52,35.1333,140.3,Katsuura Hotel Mikazuki
141,Alenquer,BR,85.44,-1.9417,-54.7383,Detinha Hotel
143,Paciran,ID,78.44,-6.8767,112.3761,Tanjung Kodok Beach Resort
145,Zarichne,UA,81.45,51.8126,26.129,Yunistʹ
149,Kilindoni,TZ,76.08,-7.9139,39.6668,Bustani B&B
152,Luena,AO,82.33,-11.7833,19.9167,Hotel Kandamba
154,Masindi,UG,77.43,1.6744,31.715,New Court View Hotel
156,Lata,PT,83.48,40.1629,-8.3327,Casa Maquia
158,Quang Ngai,VN,78.8,15.1167,108.8,Central Hotel
161,Kudat,MY,80.53,6.8837,116.8477,Dream Garden Hotel
163,Bethel,US,76.91,41.3712,-73.414,Courtyard by Marriott Danbury
168,Praia Da Vitoria,PT,79.75,38.7333,-27.0667,Hotel Branco I
172,Bubaque,GW,79.92,11.2833,-15.8333,"Casa Dora, Bubaque"
173,Kavieng,PG,83.08,-2.5744,150.7967,Nusa Island Retreat
174,Xinxiang,CN,80.94,35.3089,113.8672,Guoyu Holiday Inn
177,Hasaki,JP,79.29,35.7333,140.8333,Inubosaki Kanko Hotel
187,Zonguldak,TR,77.25,41.25,31.8333,Yazioren Koyu Muhtarligi
188,Brownsville,US,85.91,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
189,Gerstetten,DE,80.8,48.6333,10.0333,Ferienwohnung Heldenfingen
190,Honiara,SB,77.31,-9.4333,159.95,Heritage Park Hotel
192,Varadero,CU,81.88,23.1536,-81.2514,Hotel Tuxpan Varadero
193,Safaga,EG,87.62,26.7292,33.9365,Lamar Resort Abu Soma
194,Coahuayana,MX,77.58,18.7333,-103.6833,El rranchito michuacan de ocampos
195,Pumiao,CN,86.4,22.75,108.4833,Mushang Boutique Hotel
196,Naze,JP,81.52,28.3667,129.4833,Shishime Hotel
199,Akyab,MM,83.75,20.15,92.9,Hotel Memory
201,Hithadhoo,MV,83.26,-0.6,73.0833,Scoop Guest House
203,Itoman,JP,81.37,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
207,Pervomaysk,UA,87.21,48.0443,30.8507,Hotelʹ Yevrolider
211,Acapulco,MX,80.19,16.8634,-99.8901,HS Hotsson Smart Acapulco
214,Pa Sang,TH,84.4,18.5262,98.9394,โรงแรม จามจุรี 99
216,Vila Velha,BR,78.75,-20.3297,-40.2925,Hotel Vitória Palace
217,Celestun,MX,80.82,20.8667,-90.4,Posada Lilia
218,Nantucket,US,80.02,41.2835,-70.0995,Jared Coffin House
219,Trincomalee,LK,82.24,8.5711,81.2335,Welcombe Hotel
220,Road Town,VG,82.44,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
225,Matara,LK,77.16,5.9485,80.5353,Amaloh Boutique Resort
226,Touros,BR,82.15,-5.1989,-35.4608,INN NEW HORIZON
227,Port Elizabeth,ZA,79.11,-33.918,25.5701,39 On Nile Guest House
234,Mudu,CN,80.19,31.252,120.5118,Jinjiang Inn
238,San Carlos Park,US,85.95,26.4673,-81.8015,Embassy Suites by Hilton Fort Myers Estero
240,Chateaubelair,VC,82.92,13.2833,-61.25,Richmond Vale Diving & Hiking Center
242,Torbay,CA,77.88,47.6666,-52.7314,Gallows Cove
243,Praia,CV,84.74,14.9215,-23.5087,LT Aparthotel
245,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Porto De Canoas
248,Beyneu,KZ,88.59,45.3167,55.2,NUR
251,Namatanai,PG,80.47,-3.6667,152.4333,Seagulls Inn Namatani
255,Caravelas,BR,77.58,-17.7125,-39.2481,Pousada dos Navegantes
256,Laurel,US,77.56,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
259,Sola,VU,80.62,-13.8833,167.55,Leumerus Bungalows
268,Hashtrud,IR,85.91,37.4779,47.0508,Hashtrud Farhangian Club
269,Balykshi,KZ,84.2,47.0667,51.8667,Гостиница Golden Rose
271,Ravensburg,DE,82.47,47.7833,9.6167,REBGARTEN Hotel Zwergerstr. Garni
275,Erzin,TR,89.73,36.9559,36.2,Artemis Otel
279,Pimenta Bueno,BR,89.11,-11.6725,-61.1936,Cristalina Palace Hotel
282,College Place,US,82.56,46.0493,-118.3883,"Holiday Inn Express Walla Walla, an IHG Hotel"
287,Lubao,PH,80.31,14.9167,120.55,Hacienda Gracia
293,The Valley,AI,86.09,18.217,-63.0578,CeBlue Villas & Beach Resort
294,Lazaro Cardenas,MX,78.53,17.9583,-102.2,HOTEL QUINTA ANTIGUA
296,Gilgit,PK,85.93,35.9221,74.3087,Tourist Hamlet Gilgit
298,Garden City,US,75.15,42.3256,-83.331,Big Trees Mobile Home Community
302,Kruisfontein,ZA,76.89,-34.0033,24.7314,Oyster Bay House Rental
307,Oussouye,SN,87.98,12.485,-16.5469,Auberge du Routard
308,Mutum,BR,79.68,-19.8,-41.4383,Hotel do Djalma
309,Bontang,ID,78.4,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
310,Lens,FR,75.52,50.4167,2.8333,Le Paris Brest
311,Montepuez,MZ,80.98,-13.1256,38.9997,PembaAparthotel
312,San Patricio,US,86.9,28.017,-97.5169,"Motel 6 Sinton, TX"
314,Sarkand,KZ,78.55,45.41,79.9186,Гостиница Сарканд
321,Karacabey,TR,88.65,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
322,Turbat,PK,84.88,26.0023,63.044,Mubashar Quarters
324,Harper,LR,77.86,4.375,-7.7169,Screensaver
325,Asau,RO,87.28,46.4333,26.4,Casa Mika Ciobanus
326,Sinnamary,GF,84.0,5.3833,-52.95,ALETHEIA Appartement Sinnamary
327,Vung Tau,VN,82.06,10.346,107.0843,Seaside Resort
330,Luganville,VU,78.44,-15.5333,167.1667,The Espiritu Hotel
331,Tekkali,IN,82.42,18.6167,84.2333,Spoorthi function hall
334,Oktyabrskiy,RU,78.17,54.4815,53.471,Гостиница Октябрьская
335,Det Udom,TH,78.62,14.906,105.0784,Chatsuda Resort
337,Altamira,BR,88.27,-3.2033,-52.2064,Requinte Hotel
340,Champerico,GT,77.54,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
347,Voitsberg,AT,78.31,47.0333,15.15,Ettlmaier
348,Georgetown,MY,84.88,5.4112,100.3354,Cititel Penang
358,Camopi,GF,86.59,3.1655,-52.3158,La pousada
361,Pozo Colorado,PY,89.08,-23.4923,-58.7972,Hospedaje La Norteña
363,Babu,CN,82.74,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
365,Puerto Escondido,MX,80.6,15.85,-97.0667,Aldea del Bazar Hotel and Spa
366,Mattru,SL,85.39,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
370,Izumo,JP,75.07,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
376,Santa Isabel Do Rio Negro,BR,84.69,-0.4139,-65.0192,Hotel GSA
378,Lar,IN,89.98,26.2039,83.9717,Ovaiskarni ward Lar
385,La Asuncion,VE,82.13,11.0333,-63.8628,Colinas de Matasiete
390,Kirakira,SB,78.69,-10.4544,161.9205,SanBiz Lodge
391,Dhidhdhoo,MV,82.11,6.8833,73.1,Dhidhoo beach
392,Totness,SR,82.54,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
393,Jiwani,PK,82.83,25.05,61.7417,Hamza hotel jiwani
395,Manokwari,ID,79.14,-0.8667,134.0833,Swiss Belhotel Manokwari
396,Saint George,US,76.78,37.1041,-113.5841,Best Western Plus Abbey Inn
398,Ternate,ID,81.23,0.8,127.4,Sahid Bela Ternate Hotel
399,Jardim,BR,87.93,-21.4803,-56.1381,Estancia Hotel - Jardim MS
400,Mae Ramat,TH,77.2,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
401,Nishihara,JP,79.88,26.1842,127.7558,Minshuku Agaihama
408,Tibati,CM,75.76,6.4667,12.6333,Tibati Hotel
410,Gwalior,IN,87.22,26.2236,78.1792,"Taj Usha Kiran Palace, Gwalior"
411,Nago,JP,78.46,26.5881,127.9761,Hotel Yugaf Inn Okinawa
412,Nagato,JP,76.37,34.3833,131.2,いそう庵
414,Carballo,ES,77.02,43.213,-8.691,Pazo do Souto
415,Tual,ID,79.54,-5.6667,132.75,Grand Vilia Hotel
423,Padang,ID,77.9,-0.9492,100.3543,Mercure Padang
425,Ahuimanu,US,76.86,21.4447,-157.8378,Paradise Bay Resort
429,Anloga,GH,76.95,5.7947,0.8973,Pin Drop Hotel
435,Teguise,ES,89.82,29.0605,-13.564,B&B La Casona de Nazaret
436,Coruripe,BR,76.21,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
438,Ajaccio,FR,84.25,42.0,8.9167,Sole E Monte
442,Maragogi,BR,76.69,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
446,San Pedro,PH,82.35,14.35,121.0167,Palines Apartment and Guesthouse
448,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
449,Pekalongan,ID,77.27,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
450,Carauari,BR,87.24,-4.8828,-66.8958,Hotel Fellip
451,Jhanjharpur,IN,89.56,26.2667,86.2833,Krishna Sweets
452,Sabang,ID,81.84,5.8933,95.3214,Hotel Citra
453,Pahrump,US,76.24,36.2083,-115.9839,Best Western Pahrump Oasis
454,Zaraza,VE,84.13,9.3503,-65.3245,Hotel Zaraza
456,Shenjiamen,CN,79.74,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
457,Bloomfield,US,79.99,40.8068,-74.1854,Troy Carroll
459,Ewo,CG,86.81,-0.8725,14.8206,Residence Elonda Ewo
466,Pontianak,ID,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
469,San Ignacio,BZ,80.76,17.1561,-89.0714,Rainforest Haven Inn
474,Santa Rosa,PH,83.1,14.3122,121.1114,Erlyn’s Sta Rosa City Home
477,Ciudad Bolivar,VE,83.12,8.1222,-63.5497,Hotel Edi
479,Luoyang,CN,82.09,34.6836,112.4536,易家国际青年旅舍
488,Ocos,GT,77.94,14.5094,-92.1933,Auto Hotel El Soñador
496,Qiongshan,CN,82.27,20.0058,110.3542,Sun City Restaurant
497,Nobeoka,JP,78.46,32.5833,131.6667,En City Hotel Nobeoka
499,Filadelfia,US,77.25,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
501,Minatitlan,MX,78.12,17.9833,-94.5167,Grand Regency Express
505,Kavaratti,IN,81.27,10.5669,72.642,Green leaf
507,Naspur,IN,78.71,18.8333,79.45,Hotel Vaibhav
508,Cozumel,MX,87.87,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
511,Kampong Thum,KH,80.08,12.7111,104.8887,Sambor Village Hotel
512,Rach Gia,VN,81.72,10.0167,105.0833,Nhà Hàng Hòa Giang
513,Porto Novo,BJ,78.21,6.4965,2.6036,Tour Eiffel Hotel Benin
514,Ibra,OM,83.79,22.6906,58.5334,مزرعة راحة النفوس المنزفة
517,Sarangani,PH,83.16,5.4033,125.4636,JVL Inn and Cafeteria
518,Salinopolis,BR,81.91,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
521,Srivardhan,IN,80.94,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
524,Ponta Do Sol,PT,88.43,32.6667,-17.1,Hotel do Campo
525,Mahibadhoo,MV,82.83,3.7833,72.9667,Omadhoo Inn
528,Colares,PT,87.1,38.7992,-9.4469,Arribas Sintra Hotel
538,Kyaikkami,MM,82.6,16.08,97.5675,St. joseph catholic church
540,Dillon,US,87.94,34.4166,-79.3712,Dillon Express Inn
543,Cururupu,BR,88.2,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
544,Buchanan,LR,78.85,5.8808,-10.0467,Kamaneahn Hotel Inc
550,Mauganj,IN,85.98,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
553,Jerantut,MY,76.44,3.936,102.3626,Jerantut Hill Resort
554,Bairiki,KI,80.6,1.3292,172.9752,Tarawa Boutique Hotel
555,Progreso,MX,83.1,21.2833,-89.6667,Playa Linda Hotel
557,Los Llanos De Aridane,ES,82.15,28.6585,-17.9182,Valle Aridane
558,Sao Filipe,CV,79.12,14.8961,-24.4956,Hotel Xaguate
560,Naliya,IN,82.81,23.2667,68.8333,jadeja jayendrasinh
561,Neiafu,TO,75.88,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
562,Riohacha,CO,86.11,11.5444,-72.9072,Hotel Taroa
571,Wamba,NG,82.13,8.9333,8.6,Roma Zee Guest House Annex
573,Porto Walter,BR,79.38,-8.2686,-72.7439,Hotel Silva
574,Puerto Penasco,MX,85.91,31.3167,-113.5333,Playa Bonita Resort
575,Oktyabrskoye,RU,82.54,43.0645,44.7417,Prolesok Mini-hotel
578,Malanje,AO,86.76,-9.5402,16.341,Hotel Ginga
583,Mchinji,MW,75.24,-13.7984,32.8802,Kayesa Inn
585,Yining,CN,83.82,29.0361,114.5636,Xiushui Hotel
594,Rosetta,EG,83.97,31.4044,30.4164,Green Valley
597,Yangcun,CN,80.58,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
600,Vanimo,PG,78.35,-2.6741,141.3028,Vahmoneh Lodge Vanimo
602,Mormugao,IN,79.07,15.4,73.8,Coconut Creek Resort
605,Lethem,GY,78.06,3.3803,-59.7968,Savannah Inn
606,Pointe Michel,DM,82.49,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
607,Kirando,TZ,81.19,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
608,Sirjan,IR,84.18,29.452,55.6814,MAPNA Building
609,Kloulklubed,PW,75.7,7.0419,134.2556,Storyboard Beach Resort
610,Caluquembe,AO,78.96,-13.7833,14.6833,Hotel Kalukembe
612,Wuhu,CN,79.21,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
613,Freeport,US,80.26,40.6576,-73.5832,The Freeport Inn and Marina
615,Shihezi,CN,87.44,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
616,Bela,IN,89.98,25.9333,81.9833,Raj Bhawan
618,Guilin,CN,81.95,25.2819,110.2864,Grand 0773 Hotel
619,Qingdao,CN,76.71,36.0986,120.3719,Le Meridien Qingdao
622,Madang,PG,78.44,-5.2246,145.7966,Comfort Inn Hotel
624,Beibei,CN,87.93,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
625,Keta,GH,78.53,5.9179,0.9879,A&Y Wild Camp Ghana
627,Pereslavl-Zalesskiy,RU,79.7,56.7393,38.8563,Motel Navigator
628,Dhenkanal,IN,81.81,20.6667,85.6,Sai Residency
630,Lucea,JM,85.86,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
636,Sao Jose Da Coroa Grande,BR,77.4,-8.8978,-35.1478,Crôa Mares Hotel
640,Nha Trang,VN,82.4,12.25,109.1833,Hanoi Golden Hotel
646,Barcelos,PT,84.92,41.5388,-8.6151,Hotel Restaurante Bagoeira
647,Manthani,IN,77.36,18.65,79.6667,"Sri Sai bike Paint,manthani"
653,Pedasi,PA,80.08,7.5333,-80.0333,Hotel Casa de Campo Pedasí
655,Mumford,GH,77.02,5.2618,-0.759,Spanish Villa
656,Sao Gabriel Da Cachoeira,BR,81.52,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
659,Pemangkat,ID,79.54,1.1667,108.9667,Ramah Kost KITA
661,Kaita,JP,83.75,34.3667,132.55,Kaita Central Hotel
669,Pemba,MZ,77.7,-12.974,40.5178,Guesthouse Samotina
674,Madison Heights,US,76.14,42.4859,-83.1052,Red Roof Inn Detroit - Warren
675,Miedzyrzecz,PL,77.07,52.4446,15.578,Motel & Bistro S3
680,Ahmadpur,IN,75.69,18.7,76.9333,Satish suryawanshi niwas
